Model,WDD
Amazon_Q_Developer,0.882352941
Amazon_Q_Developer,0.546448087
Amazon_Q_Developer,3.08411215
Amazon_Q_Developer,1.320754717
Amazon_Q_Developer,1.793478261
Amazon_Q_Developer,1.565217391
Amazon_Q_Developer,0
Amazon_Q_Developer,1.66481687
Amazon_Q_Developer,0
Amazon_Q_Developer,0
Anthropic_Claude,0
Anthropic_Claude,0
Anthropic_Claude,2.859618718
Anthropic_Claude,0.78125
Anthropic_Claude,5.128205128
Anthropic_Claude,0
Anthropic_Claude,0.25728988
Anthropic_Claude,0.655021834
Anthropic_Claude,0.800711744
Anthropic_Claude,0.776196636
ChatGPT,5.660377358
ChatGPT,0
ChatGPT,0
ChatGPT,0.857142857
ChatGPT,4.6875
ChatGPT,0
ChatGPT,0.613496933
ChatGPT,0
ChatGPT,0
ChatGPT,4.081632653
Gemini,1.351351351
Gemini,0.490196078
Gemini,0.533807829
Gemini,0.802139037
Gemini,2.4
Gemini,5.714285714
Gemini,0.6
Gemini,0.646551724
Gemini,1.492537313
Gemini,1.363636364
Github_Copilot,4.724409449
Github_Copilot,2.623906706
Github_Copilot,2.083333333
Github_Copilot,2.362204724
Github_Copilot,3.68852459
Github_Copilot,1.604278075
Github_Copilot,0.539568345
Github_Copilot,0.807899461
Github_Copilot,0
Github_Copilot,0
Mistral,1.5
Mistral,0.824175824
Mistral,4.663212435
Mistral,2.475247525
Mistral,3.03030303
Mistral,0
Mistral,0.295275591
Mistral,1.006711409
Mistral,2.739726027
Mistral,1.642335766
