Model,WVD
Amazon_Q_Developer,6.588235294
Amazon_Q_Developer,74.09471767
Amazon_Q_Developer,58.28037383
Amazon_Q_Developer,45.56603774
Amazon_Q_Developer,32.43478261
Amazon_Q_Developer,24.13043478
Amazon_Q_Developer,40.62923524
Amazon_Q_Developer,3.277469478
Amazon_Q_Developer,6.189035917
Amazon_Q_Developer,34.19677996
Anthropic_Claude,16.50505051
Anthropic_Claude,63.3573201
Anthropic_Claude,31.17331023
Anthropic_Claude,32.34722222
Anthropic_Claude,10.70940171
Anthropic_Claude,11.36134454
Anthropic_Claude,69.77186964
Anthropic_Claude,0
Anthropic_Claude,8.355871886
Anthropic_Claude,34.58214748
ChatGPT,17.88679245
ChatGPT,39.08823529
ChatGPT,37.39525692
ChatGPT,39.85714286
ChatGPT,12.125
ChatGPT,9.470588235
ChatGPT,97.8404908
ChatGPT,11.04651163
ChatGPT,11.51282051
ChatGPT,29.04081633
Gemini,8.45045045
Gemini,57.59477124
Gemini,37
Gemini,37.40641711
Gemini,12.2
Gemini,15.61904762
Gemini,63.7
Gemini,5
Gemini,26.48756219
Gemini,57.87878788
Github_Copilot,0
Github_Copilot,80.18658892
Github_Copilot,31.34722222
Github_Copilot,48.57480315
Github_Copilot,11.86885246
Github_Copilot,20.01069519
Github_Copilot,71.52877698
Github_Copilot,23.17953321
Github_Copilot,9.225490196
Github_Copilot,79.54639175
Mistral,17
Mistral,54.60989011
Mistral,16.51813472
Mistral,42.99009901
Mistral,13.04040404
Mistral,11.2
Mistral,69.77165354
Mistral,5
Mistral,9.141552511
Mistral,33.82481752
